post_id,title,category,score,num_comments,author,collected_at
49426877,Show HN: Flostep – Diagrams people can actually walk through,entertainment,18,6,pandurang90,2026-08-25 16:21:17.868776
49417684,Show HN: Vanilla OS 3 Reunion – Immutable and Reproducible Operating System,entertainment,28,13,NN708,2026-08-25 16:21:59.060255
49423735,Show HN: I built a lite LPU that can do inference on Karpathy's MicroGPT,entertainment,16,1,sakshambatraa,2026-08-25 16:22:21.252864
49420650,"Show HN: Tblue – 614 passive security scanners for any website, runs locally",entertainment,14,3,taylannuhoglu,2026-08-25 16:22:33.129755
49408858,"My favorite nonfiction books about cults, scams, and schemes",entertainment,276,122,bwb,2026-08-25 16:22:36.100876
49402181,I set a trap for a book-marketing scammer (2025),entertainment,88,59,rznicolet,2026-08-25 16:23:11.940087
49402213,Figmimic – A bookmarklet to copy any webpage into Figma as editable layers,entertainment,131,22,speckx,2026-08-25 16:23:23.615023
49427946,Some purchased movies on AppleTV are no longer accessible,entertainment,11,1,erickhill,2026-08-25 16:23:41.329542
49417766,Ask HN: Those making $500/month on side projects in 2026 – Show and tell,entertainment,62,78,kaladan,2026-08-25 16:23:42.661421
49390993,Show HN: A puzzle I couldn't solve for a year – cubers cracked it in an hour,entertainment,17,17,Pawel_SkimmIQ,2026-08-25 16:23:44.092018
49424013,Show HN: OutMap – a live map of 235 countries where anyone can place a link,entertainment,7,9,ifrosted,2026-08-25 16:23:45.525933
49420055,Show HN: My Emacs Zero to IDE Journey,entertainment,12,0,KallDrexx,2026-08-25 16:23:54.306604
49419837,Show HN: Dashi – a 214KB Chrome new tab dashboard with no servers or analytics,entertainment,8,2,trydashi,2026-08-25 16:24:02.936008
49423029,"Show HN: Dev tools in one static site, no framework, no server",entertainment,5,1,gr3ggg,2026-08-25 16:24:10.717079
49426275,How I Read Books,entertainment,12,7,nomilk,2026-08-25 16:24:32.640797
49419615,Show HN: OpenMRP – an open-source manufacturing ERP built over 4 years,entertainment,8,2,dalbaugh,2026-08-25 16:25:20.759971
49407309,Show HN: Live 3D satellite tracker and the declassified Pentagon UFO archive,entertainment,68,39,skylensspace,2026-08-25 16:25:32.227363
